Player,Pokémon,Sim_Score,#,HP,Attack,Defense,Special,Speed,HP_scale,Attack_scale,Defense_scale,Special_scale,Speed_scale,TOI_GP,xEVO_GAR,xEVD_GAR,xST_GAR,Pens_GAR,TOI_GP_scale,xEVO_GAR_scale,xEVD_GAR_scale,xST_GAR_scale,Pens_GAR_scale
A.J. Greer,Koffing,83.1,109,40,65,95,60,35,0.178807947,0.430463576,0.844370861,0.42384106,0.105960265,9.108196721,-0.1,3.4,0,-0.8,0.036686391,0.371005917,0.885798817,0.428994083,0.120118343
Aaron Ekblad,Vaporeon,43.7,134,130,65,60,110,65,0.976821192,0.430463576,0.430463576,0.907284768,0.466887417,23.3943662,-0.3,-1.2,6.7,-0.9,0.969230769,0.326035503,0.243195266,0.979881657,0.10295858
Aatu Raty,Kabuto,58.2,140,30,80,90,45,55,0.052980132,0.602649007,0.804635762,0.221854305,0.337748344,8.38,0.7,0.8,0,-0.3,0.016568047,0.490532544,0.593491124,0.428994083,0.253254438
Adam Beckman,Goldeen,63.6,118,45,67,60,50,63,0.254966887,0.470198675,0.430463576,0.294701987,0.443708609,10.68888889,-0.6,0.3,0,0.4,0.114792899,0.292307692,0.493491124,0.428994083,0.556213018
Adam Boqvist,Beedrill,48.5,15,65,80,40,45,75,0.602649007,0.602649007,0.132450331,0.221854305,0.59602649,18.63478261,5.6,-3.9,-0.2,1.7,0.760946746,0.815976331,0.075739645,0.29704142,0.873964497
Adam Erne,Nidoran (F),60,29,55,47,52,40,41,0.387417219,0.178807947,0.298013245,0.165562914,0.178807947,13.38032787,-2.4,0,-1.2,0.1,0.313609467,0.107100592,0.441420118,0.113609467,0.437278107
Adam Fox,Dragonite,82.4,149,91,134,95,100,80,0.900662252,1,0.844370861,0.844370861,0.649006623,24.3695122,16.8,4.3,3.5,0.9,0.985798817,0.981656805,0.924852071,0.922485207,0.732544379
Adam Henrique,Machop,56.6,66,70,80,50,35,35,0.678807947,0.602649007,0.264900662,0.109271523,0.105960265,18.17419355,8.9,-1.2,-2.4,-0.3,0.730177515,0.896449704,0.243195266,0.040236686,0.253254438
Adam Larsson,Rhyhorn,74.4,111,80,85,95,30,25,0.778145695,0.715231788,0.844370861,0.069536424,0.033112583,23.64146341,3.3,4.5,-2.2,-1.1,0.973964497,0.715384615,0.933136095,0.047337278,0.072781065
Adam Lowry,Hitmonchan,67.5,107,50,105,79,35,76,0.321192053,0.88410596,0.678807947,0.109271523,0.612582781,15.65609756,3.3,1.1,-4.3,0.5,0.49704142,0.715384615,0.644970414,0.008284024,0.595266272
Adam Pelech,Rhyhorn,68.8,111,80,85,95,30,25,0.778145695,0.715231788,0.844370861,0.069536424,0.033112583,21.65245902,3.9,6.8,-2.2,-0.5,0.928994083,0.743195266,0.979881657,0.047337278,0.18816568
Adam Ruzicka,Kabuto,65.7,140,30,80,90,45,55,0.052980132,0.602649007,0.804635762,0.221854305,0.337748344,11.60454545,0.5,1.4,-0.3,0.3,0.169230769,0.467455621,0.701183432,0.264497041,0.520710059
Adrian Kempe,Exeggutor,62.6,103,95,95,85,125,55,0.917218543,0.804635762,0.768211921,0.970198675,0.337748344,18.75731707,12.7,1.8,5.2,-0.8,0.771597633,0.949704142,0.750295858,0.960946746,0.120118343
Aidan McDonough,Dratini,68.2,147,41,64,45,50,50,0.225165563,0.387417219,0.185430464,0.294701987,0.284768212,9.316666667,0.1,-0.7,0,-0.2,0.043786982,0.408284024,0.315976331,0.428994083,0.293491124
Akito Hirose,Nidorina,68,30,70,62,67,55,56,0.678807947,0.367549669,0.543046358,0.367549669,0.374172185,17.45714286,-1.3,-0.3,-0.3,0,0.675739645,0.191715976,0.378106509,0.264497041,0.392307692
Alec Martinez,Electrode,41.5,101,60,50,70,80,140,0.476821192,0.231788079,0.586092715,0.655629139,1,19.22727273,-2.5,1.5,0.5,1,0.8,0.099408284,0.718343195,0.646153846,0.761538462
Alec Regula,Seel,75.4,86,65,45,55,70,45,0.602649007,0.142384106,0.341059603,0.559602649,0.225165563,16.6,-0.5,-0.3,0,-0.3,0.591715976,0.303550296,0.378106509,0.428994083,0.253254438
Aleksander Barkov,Zapdos,81.1,145,90,90,85,125,100,0.864238411,0.754966887,0.768211921,0.970198675,0.880794702,21.225,3.8,4.3,6.8,2.2,0.915976331,0.737278107,0.924852071,0.981656805,0.932544379
Aleksi Heponiemi,Charmander,68.4,4,39,52,43,50,65,0.132450331,0.261589404,0.152317881,0.294701987,0.466887417,8.59,-0.7,-0.8,0,-0.1,0.021301775,0.275739645,0.297633136,0.428994083,0.340828402
Alex Alexeyev,Exeggcute,47.3,102,60,40,80,60,40,0.476821192,0.089403974,0.715231788,0.42384106,0.152317881,16.453125,-3.9,1.2,0.4,0.2,0.570414201,0.035502959,0.666272189,0.626627219,0.480473373
Alex Barabanov,Weepinbell,78,70,65,90,50,85,55,0.602649007,0.754966887,0.264900662,0.715231788,0.337748344,18.05294118,2.9,-1.9,1.2,0.1,0.720710059,0.683431953,0.175739645,0.749112426,0.437278107
