Player,Pokémon,Sim_Score,#,HP,Attack,Defense,Sp. Attack,Sp. Defense,Speed,HP_scale,Attack_scale,Defense_scale,Sp. Attack_scale,Sp. Defense_scale,Speed_scale,TOI_GP,xEVO_GAR,xEVD_GAR,xPPO_GAR,xSHD_GAR,Pens_GAR,TOI_GP_scale,xEVO_GAR_scale,xEVD_GAR_scale,xPPO_GAR_scale,xSHD_GAR_scale,Pens_GAR_scale
A.J. Greer,Koffing,68.2,109,40,65,95,60,45,35,0.151394422,0.446215139,0.834661355,0.458167331,0.195219124,0.139442231,9.108196721,-0.1,3.4,0,0,-0.8,0.036686391,0.371005917,0.885798817,0.461538462,0.463905325,0.120118343
Aaron Ekblad,Sunflora,49.2,192,75,75,55,105,85,30,0.685258964,0.555776892,0.356573705,0.914342629,0.772908367,0.085657371,23.3943662,-0.3,-1.2,3.8,2.9,-0.9,0.969230769,0.326035503,0.243195266,0.931360947,0.991715976,0.10295858
Aatu Raty,Squirtle,60,7,44,48,65,50,64,43,0.19123506,0.211155378,0.503984064,0.336653386,0.442231076,0.229083665,8.38,0.7,0.8,0,0,-0.3,0.016568047,0.490532544,0.593491124,0.461538462,0.463905325,0.253254438
Adam Beckman,Farfetch'd,66.7,83,52,65,55,58,62,60,0.322709163,0.446215139,0.356573705,0.418326693,0.434262948,0.446215139,10.68888889,-0.6,0.3,0,0,0.4,0.114792899,0.292307692,0.493491124,0.461538462,0.463905325,0.556213018
Adam Boqvist,Beedrill,46.6,15,65,80,40,45,80,75,0.549800797,0.625498008,0.153386454,0.274900398,0.699203187,0.625498008,18.63478261,5.6,-3.9,-0.2,0,1.7,0.760946746,0.815976331,0.075739645,0.18816568,0.463905325,0.873964497
Adam Erne,Psyduck,63.9,54,50,52,48,65,50,55,0.28685259,0.278884462,0.241035857,0.539840637,0.272908367,0.38247012,13.38032787,-2.4,0,0,-1.2,0.1,0.313609467,0.107100592,0.441420118,0.461538462,0.088757396,0.437278107
Adam Fox,Dragonite,79.8,149,91,134,95,100,100,80,0.87250996,0.998007968,0.834661355,0.878486056,0.892430279,0.671314741,24.3695122,16.8,4.3,3.3,0.2,0.9,0.985798817,0.981656805,0.924852071,0.920118343,0.739053254,0.732544379
Adam Henrique,Weepinbell,64.4,70,65,90,50,85,45,55,0.549800797,0.770916335,0.28685259,0.752988048,0.195219124,0.38247012,18.17419355,8.9,-1.2,1.7,-4.1,-0.3,0.730177515,0.896449704,0.243195266,0.84852071,0.007692308,0.253254438
Adam Larsson,Rhyhorn,68.6,111,80,85,95,30,30,25,0.747011952,0.729083665,0.834661355,0.06374502,0.057768924,0.051792829,23.64146341,3.3,4.5,-0.1,-2.1,-1.1,0.973964497,0.715384615,0.933136095,0.237869822,0.047928994,0.072781065
Adam Lowry,Sandshrew,40.8,27,50,75,85,20,30,40,0.28685259,0.555776892,0.762948207,0.019920319,0.057768924,0.187250996,15.65609756,3.3,1.1,-1.6,-2.7,0.5,0.49704142,0.715384615,0.644970414,0.026627219,0.031952663,0.595266272
Adam Pelech,Rhydon,63.8,112,105,130,120,45,45,40,0.944223108,0.980079681,0.958167331,0.274900398,0.195219124,0.187250996,21.65245902,3.9,6.8,0,-2.2,-0.5,0.928994083,0.743195266,0.979881657,0.461538462,0.044970414,0.18816568
Adam Ruzicka,Goldeen,64,118,45,67,60,35,50,63,0.217131474,0.482071713,0.43625498,0.119521912,0.272908367,0.474103586,11.60454545,0.5,1.4,-0.3,0,0.3,0.169230769,0.467455621,0.701183432,0.159763314,0.463905325,0.520710059
Adrian Kempe,Octillery,63.4,224,75,105,75,105,75,45,0.685258964,0.894422311,0.631474104,0.914342629,0.623505976,0.260956175,18.75731707,12.7,1.8,4.1,1.1,-0.8,0.771597633,0.949704142,0.750295858,0.943195266,0.889349112,0.120118343
Aidan McDonough,Bulbasaur,72.2,1,45,49,49,65,65,45,0.217131474,0.221115538,0.250996016,0.539840637,0.488047809,0.260956175,9.316666667,0.1,-0.7,0,0,-0.2,0.043786982,0.408284024,0.315976331,0.461538462,0.463905325,0.293491124
